Date,MD_Cases,VA_Cases
1/22/2020,0,0
1/23/2020,0,0
1/24/2020,0,0
1/25/2020,0,0
1/26/2020,0,0
1/27/2020,0,0
1/28/2020,0,0
1/29/2020,0,0
1/30/2020,0,0
1/31/2020,0,0
2/1/2020,0,0
2/2/2020,0,0
2/3/2020,0,0
2/4/2020,0,0
2/5/2020,0,0
2/6/2020,0,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,0,0
2/10/2020,0,0
2/11/2020,0,0
2/12/2020,0,0
2/13/2020,0,0
2/14/2020,0,0
2/15/2020,0,0
2/16/2020,0,0
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,0,0
2/22/2020,0,0
2/23/2020,0,0
2/24/2020,0,0
2/25/2020,0,0
2/26/2020,0,0
2/27/2020,0,0
2/28/2020,0,0
2/29/2020,0,0
3/1/2020,0,0
3/2/2020,0,0
3/3/2020,0,0
3/4/2020,0,0
3/5/2020,0,0
3/6/2020,3,0
3/7/2020,0,0
3/8/2020,2,2
3/9/2020,0,0
3/10/2020,3,6
3/11/2020,1,1
3/12/2020,3,3
3/13/2020,6,15
3/14/2020,9,10
3/15/2020,3,0
3/16/2020,18,12
3/17/2020,18,18
3/18/2020,25,12
3/19/2020,22,24
3/20/2020,42,20
3/21/2020,44,34
3/22/2020,51,63
3/23/2020,46,34
3/24/2020,59,39
3/25/2020,76,103
3/26/2020,158,70
3/27/2020,192,141
3/28/2020,220,133
3/29/2020,244,150
3/30/2020,174,130
3/31/2020,247,229
4/1/2020,326,234
4/2/2020,345,223
4/3/2020,427,306
4/4/2020,367,395
4/5/2020,492,233
4/6/2020,428,238
4/7/2020,326,457
4/8/2020,1158,310
4/9/2020,656,397
4/10/2020,783,467
4/11/2020,726,568
4/12/2020,531,197
4/13/2020,711,473
4/14/2020,536,435
4/15/2020,560,318
4/16/2020,752,389
4/17/2020,788,602
4/18/2020,754,562
4/19/2020,521,489
4/20/2020,837,448
4/21/2020,509,640
4/22/2020,582,636
4/23/2020,962,732
4/24/2020,879,596
4/25/2020,1150,772
4/26/2020,815,604
4/27/2020,906,568
4/28/2020,626,801
4/29/2020,736,623
4/30/2020,893,885
5/1/2020,1730,1055
5/2/2020,1001,836
5/3/2020,989,934
5/4/2020,946,821
5/5/2020,709,764
5/6/2020,1046,728
5/7/2020,1211,585
5/8/2020,1111,772
5/9/2020,1049,854
5/10/2020,1053,885
5/11/2020,786,989
5/12/2020,688,730
5/13/2020,751,946
5/14/2020,1091,1067
5/15/2020,1083,859
5/16/2020,982,1011
5/17/2020,836,705
5/18/2020,958,752
5/19/2020,1784,1005
5/20/2020,777,763
5/21/2020,1208,1229
5/22/2020,893,813
5/23/2020,1071,799
5/24/2020,818,495
5/25/2020,839,1483
5/26/2020,535,1615
5/27/2020,736,907
5/28/2020,1286,1152
5/29/2020,1279,1132
5/30/2020,1027,1078
5/31/2020,763,996
6/1/2020,549,791
6/2/2020,848,841
6/3/2020,807,666
6/4/2020,876,951
6/5/2020,912,676
6/6/2020,712,865
6/7/2020,491,1284
6/8/2020,431,570
6/9/2020,500,487
6/10/2020,561,439
6/11/2020,732,470
6/12/2020,416,564
6/13/2020,692,658
6/14/2020,396,637
6/15/2020,331,380
6/16/2020,377,445
6/17/2020,560,444
6/18/2020,260,463
6/19/2020,319,555
6/20/2020,408,650
6/21/2020,350,551
6/22/2020,297,471
6/23/2020,404,529
6/24/2020,330,520
6/25/2020,440,432
6/26/2020,338,624
6/27/2020,335,677
