Date,Cases,Deaths
1/22/2020,0,0
1/23/2020,0,0
1/24/2020,0,0
1/25/2020,0,0
1/26/2020,0,0
1/27/2020,0,0
1/28/2020,0,0
1/29/2020,0,0
1/30/2020,0,0
1/31/2020,0,0
2/1/2020,0,0
2/2/2020,0,0
2/3/2020,0,0
2/4/2020,0,0
2/5/2020,0,0
2/6/2020,0,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,0,0
2/10/2020,0,0
2/11/2020,0,0
2/12/2020,0,0
2/13/2020,0,0
2/14/2020,0,0
2/15/2020,0,0
2/16/2020,0,0
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,0,0
2/22/2020,0,0
2/23/2020,0,0
2/24/2020,0,0
2/25/2020,0,0
2/26/2020,0,0
2/27/2020,0,0
2/28/2020,0,0
2/29/2020,0,0
3/1/2020,0,0
3/2/2020,0,0
3/3/2020,0,0
3/4/2020,0,0
3/5/2020,0,0
3/6/2020,3,0
3/7/2020,0,0
3/8/2020,2,0
3/9/2020,0,0
3/10/2020,3,0
3/11/2020,1,0
3/12/2020,3,0
3/13/2020,6,0
3/14/2020,9,0
3/15/2020,3,0
3/16/2020,18,0
3/17/2020,18,0
3/18/2020,25,0
3/19/2020,22,1
3/20/2020,42,1
3/21/2020,44,0
3/22/2020,51,1
3/23/2020,46,0
3/24/2020,59,1
3/25/2020,76,0
3/26/2020,158,0
3/27/2020,192,1
3/28/2020,220,0
3/29/2020,244,5
3/30/2020,174,5
3/31/2020,247,3
4/1/2020,326,13
4/2/2020,345,5
4/3/2020,427,7
4/4/2020,367,11
4/5/2020,492,13
4/6/2020,428,24
4/7/2020,326,12
4/8/2020,1158,21
4/9/2020,656,14
4/10/2020,783,33
4/11/2020,726,35
4/12/2020,531,30
4/13/2020,711,26
4/14/2020,536,40
4/15/2020,560,9
4/16/2020,752,8
4/17/2020,788,15
4/18/2020,754,87
4/19/2020,521,40
4/20/2020,837,121
4/21/2020,509,70
4/22/2020,582,46
4/23/2020,962,50
4/24/2020,879,50
4/25/2020,1150,77
4/26/2020,815,35
4/27/2020,906,35
4/28/2020,626,71
4/29/2020,736,62
4/30/2020,893,62
5/1/2020,1730,60
5/2/2020,1001,171
5/3/2020,989,30
5/4/2020,946,36
5/5/2020,709,73
5/6/2020,1046,47
5/7/2020,1211,66
5/8/2020,1111,57
5/9/2020,1049,54
5/10/2020,1053,30
5/11/2020,786,39
5/12/2020,688,73
5/13/2020,751,53
5/14/2020,1091,57
5/15/2020,1083,45
5/16/2020,982,46
5/17/2020,836,35
5/18/2020,958,31
5/19/2020,1784,58
5/20/2020,777,42
5/21/2020,1208,36
5/22/2020,893,48
5/23/2020,1071,36
5/24/2020,818,34
5/25/2020,839,25
5/26/2020,535,31
5/27/2020,736,59
5/28/2020,1286,36
5/29/2020,1279,38
5/30/2020,1027,43
5/31/2020,763,23
6/1/2020,549,20
6/2/2020,848,45
6/3/2020,807,44
6/4/2020,876,27
6/5/2020,912,34
6/6/2020,712,38
6/7/2020,491,9
6/8/2020,431,27
6/9/2020,500,35
6/10/2020,561,33
6/11/2020,732,31
6/12/2020,416,25
6/13/2020,692,26
6/14/2020,396,13
6/15/2020,331,8
6/16/2020,377,35
6/17/2020,560,14
6/18/2020,260,20
6/19/2020,319,14
6/20/2020,408,22
6/21/2020,350,14
6/22/2020,297,8
6/23/2020,404,18
6/24/2020,330,16
6/25/2020,440,21
6/26/2020,338,13
6/27/2020,335,15
6/28/2020,327,11
