Date,VZ_Close_Last,T_Close_Last
2022-11-28,38.24,18.82
2022-11-25,39.02,19.12
2022-11-23,38.92,19.09
2022-11-22,39.2,19.0
2022-11-21,38.62,18.84
2022-11-18,38.55,18.97
2022-11-17,38.16,18.95
2022-11-16,37.88,18.93
2022-11-15,37.7,19.02
2022-11-14,38.31,19.06
2022-11-11,38.3,19.05
2022-11-10,38.52,18.84
2022-11-09,37.62,18.38
2022-11-08,37.87,18.57
2022-11-07,37.19,18.36
2022-11-04,37.24,18.32
2022-11-03,37.15,18.17
2022-11-02,37.71,18.43
2022-11-01,37.37,18.35
2022-10-31,37.37,18.23
2022-10-28,37.67,18.48
2022-10-27,36.18,18.03
2022-10-26,36.43,18.14
2022-10-25,36.43,17.69
2022-10-24,35.97,17.51
2022-10-21,35.35,17.1
2022-10-20,37.0,16.74
2022-10-19,36.57,15.54
2022-10-18,37.07,15.6
2022-10-17,37.18,15.31
2022-10-14,36.38,14.99
2022-10-13,36.4,15.12
2022-10-12,35.68,14.63
2022-10-11,35.94,14.81
2022-10-10,36.62,14.9
2022-10-07,36.85,14.94
2022-10-06,37.84,15.32
2022-10-05,39.4,15.93
2022-10-04,39.81,16.09
2022-10-03,39.16,15.9
2022-09-30,37.97,15.34
2022-09-29,38.64,15.53
2022-09-28,39.39,15.83
2022-09-27,38.89,15.73
2022-09-26,38.93,15.67
2022-09-23,39.52,16.01
2022-09-22,39.93,16.24
2022-09-21,39.48,16.25
2022-09-20,40.59,16.56
2022-09-19,41.24,16.76
2022-09-16,41.25,16.74
2022-09-15,41.03,16.76
2022-09-14,41.28,16.77
2022-09-13,41.75,16.83
2022-09-12,42.76,17.38
2022-09-09,42.24,17.03
2022-09-08,41.32,16.77
2022-09-07,41.08,16.87
2022-09-06,41.1,16.79
2022-09-02,41.3,17.19
2022-09-01,41.81,17.5
2022-08-31,41.81,17.54
2022-08-30,42.53,17.82
2022-08-29,43.33,17.78
2022-08-26,43.25,17.89
2022-08-25,43.74,18.09
2022-08-24,43.55,18.01
2022-08-23,43.47,18.06
2022-08-22,44.17,18.13
2022-08-19,44.42,18.43
2022-08-18,44.19,18.43
2022-08-17,45.34,18.42
2022-08-16,45.8,18.57
2022-08-15,45.56,18.39
2022-08-12,45.15,18.27
2022-08-11,44.78,18.04
2022-08-10,44.84,18.01
2022-08-09,44.68,18.1
2022-08-08,44.54,18.0
2022-08-05,44.95,18.35
2022-08-04,44.43,18.27
2022-08-03,45.33,18.37
2022-08-02,45.34,18.36
2022-08-01,46.26,18.73
2022-07-29,46.19,18.78
2022-07-28,45.55,18.58
2022-07-27,44.91,18.39
2022-07-26,44.92,18.3
2022-07-25,44.76,18.53
2022-07-22,44.45,18.4
2022-07-21,47.66,18.92
2022-07-20,49.07,20.48
2022-07-19,50.45,20.8
2022-07-18,50.28,20.53
2022-07-15,51.02,20.57
2022-07-14,50.49,20.33
2022-07-13,50.51,20.45
2022-07-12,50.78,20.6
2022-07-11,50.5,20.66
2022-07-08,50.49,20.8
2022-07-07,50.71,21.15
2022-07-06,51.51,21.09
