Date,State,Cases,Deaths
2020-01-22,Alabama,0,0
2020-01-23,Alabama,0,0
2020-01-24,Alabama,0,0
2020-01-25,Alabama,0,0
2020-01-26,Alabama,0,0
2020-01-27,Alabama,0,0
2020-01-28,Alabama,0,0
2020-01-29,Alabama,0,0
2020-01-30,Alabama,0,0
2020-01-31,Alabama,0,0
2020-02-01,Alabama,0,0
2020-02-02,Alabama,0,0
2020-02-03,Alabama,0,0
2020-02-04,Alabama,0,0
2020-02-05,Alabama,0,0
2020-02-06,Alabama,0,0
2020-02-07,Alabama,0,0
2020-02-08,Alabama,0,0
2020-02-09,Alabama,0,0
2020-02-10,Alabama,0,0
2020-02-11,Alabama,0,0
2020-02-12,Alabama,0,0
2020-02-13,Alabama,0,0
2020-02-14,Alabama,0,0
2020-02-15,Alabama,0,0
2020-02-16,Alabama,0,0
2020-02-17,Alabama,0,0
2020-02-18,Alabama,0,0
2020-02-19,Alabama,0,0
2020-02-20,Alabama,0,0
2020-02-21,Alabama,0,0
2020-02-22,Alabama,0,0
2020-02-23,Alabama,0,0
2020-02-24,Alabama,0,0
2020-02-25,Alabama,0,0
2020-02-26,Alabama,0,0
2020-02-27,Alabama,0,0
2020-02-28,Alabama,0,0
2020-02-29,Alabama,0,0
2020-03-01,Alabama,0,0
2020-03-02,Alabama,0,0
2020-03-03,Alabama,0,0
2020-03-04,Alabama,0,0
2020-03-05,Alabama,0,0
2020-03-06,Alabama,0,0
2020-03-07,Alabama,0,0
2020-03-08,Alabama,0,0
2020-03-09,Alabama,0,0
2020-03-10,Alabama,0,0
2020-03-11,Alabama,3,0
2020-03-12,Alabama,1,0
2020-03-13,Alabama,4,0
2020-03-14,Alabama,7,0
2020-03-15,Alabama,13,0
2020-03-16,Alabama,8,0
2020-03-17,Alabama,15,0
2020-03-18,Alabama,10,0
2020-03-19,Alabama,27,0
2020-03-20,Alabama,27,0
2020-03-21,Alabama,34,0
2020-03-22,Alabama,31,0
2020-03-23,Alabama,44,0
2020-03-24,Alabama,74,0
2020-03-25,Alabama,174,1
2020-03-26,Alabama,102,0
2020-03-27,Alabama,110,3
2020-03-28,Alabama,117,0
2020-03-29,Alabama,79,6
2020-03-30,Alabama,121,0
2020-03-31,Alabama,62,13
2020-04-01,Alabama,112,4
2020-04-02,Alabama,196,5
2020-04-03,Alabama,235,6
2020-04-04,Alabama,121,6
2020-04-05,Alabama,178,1
2020-04-06,Alabama,174,4
2020-04-07,Alabama,229,15
2020-04-08,Alabama,306,2
2020-04-09,Alabama,340,4
2020-04-10,Alabama,158,10
2020-04-11,Alabama,234,12
2020-04-12,Alabama,321,1
2020-04-13,Alabama,203,6
2020-04-14,Alabama,171,15
2020-04-15,Alabama,266,4
2020-04-16,Alabama,158,15
2020-04-17,Alabama,92,15
2020-04-18,Alabama,231,5
2020-04-19,Alabama,190,4
2020-04-20,Alabama,185,6
2020-04-21,Alabama,241,20
2020-04-22,Alabama,288,13
2020-04-23,Alabama,207,6
2020-04-24,Alabama,193,7
2020-04-25,Alabama,182,0
2020-04-26,Alabama,201,10
2020-04-27,Alabama,146,9
2020-04-28,Alabama,199,14
2020-04-29,Alabama,159,14
2020-04-30,Alabama,208,16
2020-05-01,Alabama,253,17
2020-05-02,Alabama,260,1
2020-05-03,Alabama,277,2
2020-05-04,Alabama,226,8
2020-05-05,Alabama,317,17
2020-05-06,Alabama,249,28
2020-05-07,Alabama,346,26
2020-05-08,Alabama,322,14
2020-05-09,Alabama,283,7
2020-05-10,Alabama,262,3
2020-05-11,Alabama,280,10
2020-05-12,Alabama,304,32
2020-05-13,Alabama,256,15
2020-05-14,Alabama,339,23
2020-05-15,Alabama,333,10
2020-05-16,Alabama,334,2
2020-05-17,Alabama,309,3
2020-05-18,Alabama,301,1
2020-05-19,Alabama,387,15
2020-05-20,Alabama,361,18
2020-05-21,Alabama,404,7
2020-05-22,Alabama,364,12
2020-05-23,Alabama,374,8
2020-05-24,Alabama,348,2
2020-05-25,Alabama,633,15
2020-05-26,Alabama,590,14
2020-05-27,Alabama,364,3
2020-05-28,Alabama,486,8
2020-05-29,Alabama,513,19
2020-05-30,Alabama,427,8
2020-05-31,Alabama,511,12
2020-06-01,Alabama,325,16
2020-06-02,Alabama,209,7
2020-06-03,Alabama,220,0
2020-06-04,Alabama,308,0
2020-06-05,Alabama,648,23
2020-06-06,Alabama,445,13
2020-06-07,Alabama,422,3
2020-06-08,Alabama,491,26
2020-06-09,Alabama,566,11
2020-06-10,Alabama,825,15
2020-06-11,Alabama,711,11
2020-06-12,Alabama,1035,14
2020-06-13,Alabama,959,4
2020-06-14,Alabama,818,0
2020-06-15,Alabama,303,1
2020-06-16,Alabama,549,11
2020-06-17,Alabama,907,5
2020-06-18,Alabama,735,20
2020-06-19,Alabama,549,12
2020-06-20,Alabama,458,16
2020-06-21,Alabama,439,1
2020-06-22,Alabama,649,2
2020-06-23,Alabama,1118,23
2020-06-24,Alabama,989,27
2020-06-25,Alabama,1002,5
2020-06-26,Alabama,1023,11
2020-06-27,Alabama,180,12
2020-06-28,Alabama,1420,0
2020-06-29,Alabama,1086,10
2020-06-30,Alabama,888,21
2020-07-01,Alabama,1170,22
2020-07-02,Alabama,1693,13
2020-07-03,Alabama,915,21
2020-07-04,Alabama,961,1
2020-07-05,Alabama,806,0
2020-07-06,Alabama,910,0
2020-07-07,Alabama,1416,26
2020-07-08,Alabama,1801,25
2020-07-09,Alabama,1546,10
2020-07-10,Alabama,1634,36
2020-07-11,Alabama,1473,10
2020-07-12,Alabama,1979,7
2020-07-13,Alabama,1387,3
2020-07-14,Alabama,2116,40
2020-07-15,Alabama,1910,47
2020-07-16,Alabama,1934,19
2020-07-17,Alabama,2024,35
2020-07-18,Alabama,2029,21
2020-07-19,Alabama,1552,1
2020-07-20,Alabama,1503,4
2020-07-21,Alabama,1364,12
2020-07-22,Alabama,1994,61
2020-07-23,Alabama,2091,33
2020-07-24,Alabama,2110,41
2020-07-25,Alabama,1393,18
2020-07-26,Alabama,1760,17
2020-07-27,Alabama,1308,18
2020-07-28,Alabama,1442,0
2020-07-29,Alabama,1954,47
2020-07-30,Alabama,2012,27
2020-07-31,Alabama,1602,15
2020-08-01,Alabama,2033,23
2020-08-02,Alabama,1159,24
2020-08-03,Alabama,1044,6
2020-08-04,Alabama,955,33
2020-08-05,Alabama,1866,29
2020-08-06,Alabama,1721,19
2020-08-07,Alabama,1851,21
2020-08-08,Alabama,959,20
2020-08-09,Alabama,1612,13
2020-08-10,Alabama,925,29
2020-08-11,Alabama,1094,50
2020-08-12,Alabama,734,35
2020-08-13,Alabama,757,8
2020-08-14,Alabama,1120,3
2020-08-15,Alabama,830,3
2020-08-16,Alabama,741,2
2020-08-17,Alabama,1425,27
2020-08-18,Alabama,1323,11
2020-08-19,Alabama,1281,8
2020-08-20,Alabama,1041,30
2020-08-21,Alabama,1475,22
2020-08-22,Alabama,597,15
2020-08-23,Alabama,676,2
2020-08-24,Alabama,560,11
2020-08-25,Alabama,2145,13
2020-08-26,Alabama,1714,8
2020-08-27,Alabama,1137,31
2020-08-28,Alabama,1838,31
2020-08-29,Alabama,1276,45
2020-08-30,Alabama,789,10
2020-08-31,Alabama,1556,20
2020-09-01,Alabama,734,18
2020-09-02,Alabama,1006,17
2020-09-03,Alabama,985,16
2020-09-04,Alabama,1148,33
2020-09-05,Alabama,541,9
2020-09-06,Alabama,776,1
2020-09-07,Alabama,531,0
2020-09-08,Alabama,784,1
2020-09-09,Alabama,1056,8
2020-09-10,Alabama,1077,16
2020-09-11,Alabama,969,32
2020-09-12,Alabama,1059,17
2020-09-13,Alabama,695,1
2020-09-14,Alabama,758,4
2020-09-15,Alabama,1041,32
2020-09-16,Alabama,763,5
2020-09-17,Alabama,1031,9
2020-09-18,Alabama,1314,27
2020-09-19,Alabama,810,9
2020-09-20,Alabama,747,0
2020-09-21,Alabama,877,2
2020-09-22,Alabama,657,18
2020-09-23,Alabama,1038,31
2020-09-24,Alabama,2366,18
2020-09-25,Alabama,976,15
2020-09-26,Alabama,726,10
2020-09-27,Alabama,639,0
2020-09-28,Alabama,746,0
2020-09-29,Alabama,1234,16
2020-09-30,Alabama,1188,23
2020-10-01,Alabama,955,8
2020-10-02,Alabama,1675,2
2020-10-03,Alabama,779,8
2020-10-04,Alabama,536,0
2020-10-05,Alabama,759,1
2020-10-06,Alabama,1009,21
2020-10-07,Alabama,600,21
2020-10-08,Alabama,1598,36
2020-10-09,Alabama,1214,16
2020-10-10,Alabama,801,11
2020-10-11,Alabama,716,0
2020-10-12,Alabama,1100,1
2020-10-13,Alabama,882,0
2020-10-14,Alabama,1224,41
2020-10-15,Alabama,1225,50
2020-10-16,Alabama,1312,30
2020-10-17,Alabama,980,2
2020-10-18,Alabama,865,0
2020-10-19,Alabama,1076,1
2020-10-20,Alabama,1132,16
2020-10-21,Alabama,1395,23
2020-10-22,Alabama,3832,15
2020-10-23,Alabama,2130,16
2020-10-24,Alabama,1264,7
2020-10-25,Alabama,892,0
2020-10-26,Alabama,1215,0
2020-10-27,Alabama,1329,26
2020-10-28,Alabama,1508,19
2020-10-29,Alabama,1338,3
2020-10-30,Alabama,1819,18
2020-10-31,Alabama,1681,35
2020-11-01,Alabama,845,6
2020-11-02,Alabama,1234,0
2020-11-03,Alabama,1812,14
2020-11-04,Alabama,1423,19
2020-11-05,Alabama,1601,20
2020-11-06,Alabama,1603,23
2020-11-07,Alabama,1387,33
2020-11-08,Alabama,1147,2
2020-11-09,Alabama,1858,0
2020-11-10,Alabama,39,36
2020-11-11,Alabama,2075,81
2020-11-12,Alabama,2000,12
2020-11-13,Alabama,2980,18
2020-11-14,Alabama,2226,15
2020-11-15,Alabama,1979,2
2020-11-16,Alabama,1410,1
2020-11-17,Alabama,1616,52
2020-11-18,Alabama,2638,46
2020-11-19,Alabama,2424,72
2020-11-20,Alabama,2463,32
2020-11-21,Alabama,2335,6
2020-11-22,Alabama,1798,0
2020-11-23,Alabama,1574,2
2020-11-24,Alabama,2785,13
2020-11-25,Alabama,2453,60
2020-11-26,Alabama,2639,40
2020-11-27,Alabama,917,0
2020-11-28,Alabama,2119,0
2020-11-29,Alabama,2236,5
2020-11-30,Alabama,2295,1
2020-12-01,Alabama,3376,60
2020-12-02,Alabama,3928,73
2020-12-03,Alabama,3531,65
2020-12-04,Alabama,3840,55
2020-12-05,Alabama,3390,46
2020-12-06,Alabama,2288,12
2020-12-07,Alabama,2352,3
