Date,VZ_Close_Last,T_Close_Last
11/28/2022,38.24,18.82
11/25/2022,39.02,19.12
11/23/2022,38.92,19.09
11/22/2022,39.20,19.00
11/21/2022,38.62,18.84
11/18/2022,38.55,18.97
11/17/2022,38.16,18.95
11/16/2022,37.88,18.93
11/15/2022,37.70,19.02
11/14/2022,38.31,19.06
11/11/2022,38.30,19.05
11/10/2022,38.52,18.84
11/9/2022,37.62,18.38
11/8/2022,37.87,18.57
11/7/2022,37.19,18.36
11/4/2022,37.24,18.32
11/3/2022,37.15,18.17
11/2/2022,37.71,18.43
11/1/2022,37.37,18.35
10/31/2022,37.37,18.23
10/28/2022,37.67,18.48
10/27/2022,36.18,18.03
10/26/2022,36.43,18.14
10/25/2022,36.43,17.69
10/24/2022,35.97,17.51
10/21/2022,35.35,17.10
10/20/2022,37.00,16.74
10/19/2022,36.57,15.54
10/18/2022,37.07,15.60
10/17/2022,37.18,15.31
10/14/2022,36.38,14.99
10/13/2022,36.40,15.12
10/12/2022,35.68,14.63
10/11/2022,35.94,14.81
10/10/2022,36.62,14.90
10/7/2022,36.85,14.94
10/6/2022,37.84,15.32
10/5/2022,39.40,15.93
10/4/2022,39.81,16.09
10/3/2022,39.16,15.90
9/30/2022,37.97,15.34
9/29/2022,38.64,15.53
9/28/2022,39.39,15.83
9/27/2022,38.89,15.73
9/26/2022,38.93,15.67
9/23/2022,39.52,16.01
9/22/2022,39.93,16.24
9/21/2022,39.48,16.25
9/20/2022,40.59,16.56
9/19/2022,41.24,16.76
9/16/2022,41.25,16.74
9/15/2022,41.03,16.76
9/14/2022,41.28,16.77
9/13/2022,41.75,16.83
9/12/2022,42.76,17.38
9/9/2022,42.24,17.03
9/8/2022,41.32,16.77
9/7/2022,41.08,16.87
9/6/2022,41.10,16.79
9/2/2022,41.30,17.19
9/1/2022,41.81,17.50
8/31/2022,41.81,17.54
8/30/2022,42.53,17.82
8/29/2022,43.33,17.78
8/26/2022,43.25,17.89
8/25/2022,43.74,18.09
8/24/2022,43.55,18.01
8/23/2022,43.47,18.06
8/22/2022,44.17,18.13
8/19/2022,44.42,18.43
8/18/2022,44.19,18.43
8/17/2022,45.34,18.42
8/16/2022,45.80,18.57
8/15/2022,45.56,18.39
8/12/2022,45.15,18.27
8/11/2022,44.78,18.04
8/10/2022,44.84,18.01
8/9/2022,44.68,18.10
8/8/2022,44.54,18.00
8/5/2022,44.95,18.35
8/4/2022,44.43,18.27
8/3/2022,45.33,18.37
8/2/2022,45.34,18.36
8/1/2022,46.26,18.73
7/29/2022,46.19,18.78
7/28/2022,45.55,18.58
7/27/2022,44.91,18.39
7/26/2022,44.92,18.30
7/25/2022,44.76,18.53
7/22/2022,44.45,18.40
7/21/2022,47.66,18.92
7/20/2022,49.07,20.48
7/19/2022,50.45,20.80
7/18/2022,50.28,20.53
7/15/2022,51.02,20.57
7/14/2022,50.49,20.33
7/13/2022,50.51,20.45
7/12/2022,50.78,20.60
7/11/2022,50.50,20.66
7/8/2022,50.49,20.80
7/7/2022,50.71,21.15
7/6/2022,51.51,21.09
7/5/2022,51.42,21.17
7/1/2022,51.64,21.31
6/30/2022,50.75,20.96
6/29/2022,50.94,20.95
6/28/2022,50.46,20.61
6/27/2022,50.96,20.78
6/24/2022,50.96,20.99
6/23/2022,52.09,20.61
6/22/2022,50.79,20.32
6/21/2022,50.65,19.96
6/17/2022,49.03,19.38
6/16/2022,48.84,18.96
6/15/2022,49.15,19.44
6/14/2022,49.16,19.45
6/13/2022,49.59,19.76
6/10/2022,50.82,20.69
6/9/2022,50.94,20.88
6/8/2022,51.55,21.05
6/7/2022,51.65,21.14
6/6/2022,51.24,20.94
6/3/2022,50.81,20.90
6/2/2022,51.29,21.19
6/1/2022,51.40,21.22
5/31/2022,51.29,21.29
5/27/2022,51.40,21.29
5/26/2022,50.99,21.32
5/25/2022,51.24,21.30
5/24/2022,50.68,21.16
5/23/2022,49.67,20.74
5/20/2022,49.53,20.40
5/19/2022,49.10,20.21
5/18/2022,48.89,20.23
5/17/2022,48.94,20.57
5/16/2022,49.04,20.28
5/13/2022,48.18,19.84
5/12/2022,48.06,19.72
5/11/2022,47.88,19.43
5/10/2022,48.13,19.36
5/9/2022,48.62,19.55
5/6/2022,48.27,20.03
5/5/2022,47.84,19.95
5/4/2022,48.37,19.95
5/3/2022,47.17,19.33
5/2/2022,46.23,19.12
4/29/2022,46.30,18.86
4/28/2022,48.40,19.42
4/27/2022,48.46,19.07
4/26/2022,49.41,19.30
4/25/2022,50.28,19.51
4/22/2022,51.91,19.52
4/21/2022,55.01,20.21
4/20/2022,54.41,19.43
4/19/2022,53.75,19.49
4/18/2022,53.39,19.46
4/14/2022,53.83,19.54
4/13/2022,54.14,19.42
4/12/2022,53.67,19.56
4/11/2022,53.90,19.63
4/8/2022,53.53,18.89
4/7/2022,52.67,18.57
4/6/2022,53.20,18.80
4/5/2022,52.78,18.69
4/4/2022,52.46,18.92
4/1/2022,52.12,18.76
3/31/2022,50.94,18.49
3/30/2022,51.61,18.89
3/29/2022,51.25,18.77
3/28/2022,51.17,18.68
3/25/2022,51.28,18.66
3/24/2022,51.00,18.26
3/23/2022,50.97,18.16
3/22/2022,51.00,18.16
3/21/2022,51.10,18.12
3/18/2022,50.80,18.17
3/17/2022,52.36,18.15
3/16/2022,52.49,18.15
3/15/2022,52.76,18.07
3/14/2022,52.50,17.91
3/11/2022,53.04,18.15
3/10/2022,53.23,18.15
3/9/2022,53.08,18.20
3/8/2022,53.25,18.00
3/7/2022,54.68,18.44
