,Date,Cases
0,2020-01-22,1
1,2020-01-23,0
2,2020-01-24,1
3,2020-01-25,0
4,2020-01-26,3
5,2020-01-27,0
6,2020-01-28,0
7,2020-01-29,1
8,2020-01-30,0
9,2020-01-31,2
10,2020-02-01,0
11,2020-02-02,0
12,2020-02-03,3
13,2020-02-04,0
14,2020-02-05,0
15,2020-02-06,1
16,2020-02-07,0
17,2020-02-08,0
18,2020-02-09,0
19,2020-02-10,0
20,2020-02-11,1
21,2020-02-12,0
22,2020-02-13,1
23,2020-02-14,0
24,2020-02-15,0
25,2020-02-16,0
26,2020-02-17,1
27,2020-02-18,1
28,2020-02-19,0
29,2020-02-20,0
30,2020-02-21,0
31,2020-02-22,0
32,2020-02-23,0
33,2020-02-24,1
34,2020-02-25,1
35,2020-02-26,1
36,2020-02-27,0
37,2020-02-28,0
38,2020-02-29,7
39,2020-03-01,13
40,2020-03-02,18
41,2020-03-03,22
42,2020-03-04,34
43,2020-03-05,71
44,2020-03-06,63
45,2020-03-07,170
46,2020-03-08,121
47,2020-03-09,92
48,2020-03-10,167
49,2020-03-11,361
50,2020-03-12,452
51,2020-03-13,626
52,2020-03-14,730
53,2020-03-15,388
54,2020-03-16,1433
55,2020-03-17,1783
56,2020-03-18,2706
57,2020-03-19,4507
58,2020-03-20,6401
59,2020-03-21,5992
60,2020-03-22,8888
61,2020-03-23,11156
62,2020-03-24,10618
63,2020-03-25,12127
64,2020-03-26,17821
65,2020-03-27,18591
66,2020-03-28,22164
67,2020-03-29,20165
68,2020-03-30,22154
69,2020-03-31,26381
70,2020-04-01,36021
71,2020-04-02,32251
72,2020-04-03,32401
73,2020-04-04,31776
74,2020-04-05,29151
75,2020-04-06,31993
76,2020-04-07,30150
77,2020-04-08,31245
78,2020-04-09,35484
79,2020-04-10,34424
80,2020-04-11,28952
81,2020-04-12,26238
82,2020-04-13,27243
83,2020-04-14,28628
84,2020-04-15,26052
85,2020-04-16,29608
86,2020-04-17,33182
87,2020-04-18,27288
88,2020-04-19,25428
89,2020-04-20,30271
90,2020-04-21,26337
91,2020-04-22,30038
92,2020-04-23,32094
93,2020-04-24,31498
94,2020-04-25,31397
95,2020-04-26,25865
96,2020-04-27,24807
97,2020-04-28,24527
98,2020-04-29,26799
99,2020-04-30,29564
100,2020-05-01,34850
101,2020-05-02,26614
102,2020-05-03,23604
103,2020-05-04,24019
104,2020-05-05,24054
105,2020-05-06,24401
106,2020-05-07,27626
107,2020-05-08,27137
108,2020-05-09,24145
109,2020-05-10,18795
110,2020-05-11,19260
111,2020-05-12,23484
112,2020-05-13,20068
113,2020-05-14,25881
114,2020-05-15,24828
115,2020-05-16,23885
116,2020-05-17,18714
117,2020-05-18,22392
118,2020-05-19,20549
119,2020-05-20,22840
120,2020-05-21,25094
121,2020-05-22,23842
122,2020-05-23,19885
123,2020-05-24,20112
124,2020-05-25,19174
125,2020-05-26,18692
126,2020-05-27,18834
127,2020-05-28,21128
128,2020-05-29,24775
129,2020-05-30,22718
130,2020-05-31,18768
131,2020-06-01,17858
132,2020-06-02,20060
133,2020-06-03,19085
134,2020-06-04,27807
135,2020-06-05,26337
136,2020-06-06,20158
137,2020-06-07,17807
138,2020-06-08,16917
139,2020-06-09,20345
140,2020-06-10,21778
141,2020-06-11,22309
142,2020-06-12,25569
143,2020-06-13,24137
144,2020-06-14,18950
145,2020-06-15,21121
146,2020-06-16,24635
147,2020-06-17,27084
148,2020-06-18,28290
149,2020-06-19,31230
150,2020-06-20,31854
151,2020-06-21,25842
152,2020-06-22,30002
153,2020-06-23,38888
154,2020-06-24,36322
155,2020-06-25,39361
156,2020-06-26,49092
157,2020-06-27,40844
158,2020-06-28,42919
159,2020-06-29,41558
160,2020-06-30,50039
161,2020-07-01,49346
162,2020-07-02,55114
163,2020-07-03,51684
164,2020-07-04,46048
165,2020-07-05,54009
166,2020-07-06,43610
167,2020-07-07,57475
168,2020-07-08,60483
169,2020-07-09,59823
170,2020-07-10,68771
171,2020-07-11,60487
172,2020-07-12,60256
173,2020-07-13,59687
174,2020-07-14,65793
175,2020-07-15,66393
176,2020-07-16,70815
177,2020-07-17,66344
178,2020-07-18,64293
179,2020-07-19,59000
